vignette_id,vignette_index,ckd_stage,hf,ascvd,masld,bmi_category,hba1c_band,complexity_band,trap_tag
T2D_V242,242,Stage 3b (30-44),Yes,No,No,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V243,243,Stage 3b (30-44),Yes,No,No,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V244,244,Stage 3b (30-44),Yes,No,No,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V245,245,Stage 3b (30-44),Yes,No,No,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V246,246,Stage 3b (30-44),Yes,No,No,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V247,247,Stage 3b (30-44),Yes,No,No,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V248,248,Stage 3b (30-44),Yes,No,No,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V249,249,Stage 3b (30-44),Yes,No,No,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V250,250,Stage 3b (30-44),Yes,No,No,Obese (>27),6.5-7.5%,Medium,TRAP
T2D_V251,251,Stage 3b (30-44),Yes,No,No,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V252,252,Stage 3b (30-44),Yes,No,No,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V253,253,Stage 3b (30-44),Yes,No,Yes,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V254,254,Stage 3b (30-44),Yes,No,Yes,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V255,255,Stage 3b (30-44),Yes,No,Yes,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V256,256,Stage 3b (30-44),Yes,No,Yes,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V257,257,Stage 3b (30-44),Yes,No,Yes,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V258,258,Stage 3b (30-44),Yes,No,Yes,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V259,259,Stage 3b (30-44),Yes,No,Yes,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V260,260,Stage 3b (30-44),Yes,No,Yes,Overweight (23-27),9.0-11.0%,Medium,TRAP
T2D_V261,261,Stage 3b (30-44),Yes,No,Yes,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V262,262,Stage 3b (30-44),Yes,No,Yes,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V263,263,Stage 3b (30-44),Yes,No,Yes,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V264,264,Stage 3b (30-44),Yes,No,Yes,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V265,265,Stage 3b (30-44),Yes,Yes,No,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V266,266,Stage 3b (30-44),Yes,Yes,No,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V267,267,Stage 3b (30-44),Yes,Yes,No,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V268,268,Stage 3b (30-44),Yes,Yes,No,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V269,269,Stage 3b (30-44),Yes,Yes,No,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V270,270,Stage 3b (30-44),Yes,Yes,No,Overweight (23-27),6.5-7.5%,Medium,TRAP
T2D_V271,271,Stage 3b (30-44),Yes,Yes,No,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V272,272,Stage 3b (30-44),Yes,Yes,No,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V273,273,Stage 3b (30-44),Yes,Yes,No,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V274,274,Stage 3b (30-44),Yes,Yes,No,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V275,275,Stage 3b (30-44),Yes,Yes,No,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V276,276,Stage 3b (30-44),Yes,Yes,No,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V277,277,Stage 3b (30-44),Yes,Yes,Yes,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V278,278,Stage 3b (30-44),Yes,Yes,Yes,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V279,279,Stage 3b (30-44),Yes,Yes,Yes,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V280,280,Stage 3b (30-44),Yes,Yes,Yes,Normal (<23),9.0-11.0%,Medium,TRAP
T2D_V281,281,Stage 3b (30-44),Yes,Yes,Yes,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V282,282,Stage 3b (30-44),Yes,Yes,Yes,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V283,283,Stage 3b (30-44),Yes,Yes,Yes,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V284,284,Stage 3b (30-44),Yes,Yes,Yes,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V285,285,Stage 3b (30-44),Yes,Yes,Yes,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V286,286,Stage 3b (30-44),Yes,Yes,Yes,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V287,287,Stage 3b (30-44),Yes,Yes,Yes,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V288,288,Stage 3b (30-44),Yes,Yes,Yes,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V289,289,Stage 4 (15-29),No,No,No,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V290,290,Stage 4 (15-29),No,No,No,Normal (<23),6.5-7.5%,Hard,TRAP
T2D_V291,291,Stage 4 (15-29),No,No,No,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V292,292,Stage 4 (15-29),No,No,No,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V293,293,Stage 4 (15-29),No,No,No,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V294,294,Stage 4 (15-29),No,No,No,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V295,295,Stage 4 (15-29),No,No,No,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V296,296,Stage 4 (15-29),No,No,No,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V297,297,Stage 4 (15-29),No,No,No,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V298,298,Stage 4 (15-29),No,No,No,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V299,299,Stage 4 (15-29),No,No,No,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V300,300,Stage 4 (15-29),No,No,No,Obese (>27),9.0-11.0%,Hard,TRAP
T2D_V301,301,Stage 4 (15-29),No,No,Yes,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V302,302,Stage 4 (15-29),No,No,Yes,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V303,303,Stage 4 (15-29),No,No,Yes,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V304,304,Stage 4 (15-29),No,No,Yes,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V305,305,Stage 4 (15-29),No,No,Yes,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V306,306,Stage 4 (15-29),No,No,Yes,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V307,307,Stage 4 (15-29),No,No,Yes,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V308,308,Stage 4 (15-29),No,No,Yes,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V309,309,Stage 4 (15-29),No,No,Yes,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V310,310,Stage 4 (15-29),No,No,Yes,Obese (>27),6.5-7.5%,Hard,TRAP
T2D_V311,311,Stage 4 (15-29),No,No,Yes,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V312,312,Stage 4 (15-29),No,No,Yes,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V313,313,Stage 4 (15-29),No,Yes,No,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V314,314,Stage 4 (15-29),No,Yes,No,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V315,315,Stage 4 (15-29),No,Yes,No,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V316,316,Stage 4 (15-29),No,Yes,No,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V317,317,Stage 4 (15-29),No,Yes,No,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V318,318,Stage 4 (15-29),No,Yes,No,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V319,319,Stage 4 (15-29),No,Yes,No,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V320,320,Stage 4 (15-29),No,Yes,No,Overweight (23-27),9.0-11.0%,Hard,TRAP
T2D_V321,321,Stage 4 (15-29),No,Yes,No,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V322,322,Stage 4 (15-29),No,Yes,No,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V323,323,Stage 4 (15-29),No,Yes,No,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V324,324,Stage 4 (15-29),No,Yes,No,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V325,325,Stage 4 (15-29),No,Yes,Yes,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V326,326,Stage 4 (15-29),No,Yes,Yes,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V327,327,Stage 4 (15-29),No,Yes,Yes,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V328,328,Stage 4 (15-29),No,Yes,Yes,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V329,329,Stage 4 (15-29),No,Yes,Yes,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V330,330,Stage 4 (15-29),No,Yes,Yes,Overweight (23-27),6.5-7.5%,Hard,TRAP
T2D_V331,331,Stage 4 (15-29),No,Yes,Yes,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V332,332,Stage 4 (15-29),No,Yes,Yes,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V333,333,Stage 4 (15-29),No,Yes,Yes,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V334,334,Stage 4 (15-29),No,Yes,Yes,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V335,335,Stage 4 (15-29),No,Yes,Yes,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V336,336,Stage 4 (15-29),No,Yes,Yes,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V337,337,Stage 4 (15-29),Yes,No,No,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V338,338,Stage 4 (15-29),Yes,No,No,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V339,339,Stage 4 (15-29),Yes,No,No,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V340,340,Stage 4 (15-29),Yes,No,No,Normal (<23),9.0-11.0%,Hard,TRAP
T2D_V341,341,Stage 4 (15-29),Yes,No,No,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V342,342,Stage 4 (15-29),Yes,No,No,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V343,343,Stage 4 (15-29),Yes,No,No,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V344,344,Stage 4 (15-29),Yes,No,No,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V345,345,Stage 4 (15-29),Yes,No,No,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V346,346,Stage 4 (15-29),Yes,No,No,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V347,347,Stage 4 (15-29),Yes,No,No,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V348,348,Stage 4 (15-29),Yes,No,No,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V349,349,Stage 4 (15-29),Yes,No,Yes,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V350,350,Stage 4 (15-29),Yes,No,Yes,Normal (<23),6.5-7.5%,Hard,TRAP
T2D_V351,351,Stage 4 (15-29),Yes,No,Yes,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V352,352,Stage 4 (15-29),Yes,No,Yes,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V353,353,Stage 4 (15-29),Yes,No,Yes,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V354,354,Stage 4 (15-29),Yes,No,Yes,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V355,355,Stage 4 (15-29),Yes,No,Yes,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V356,356,Stage 4 (15-29),Yes,No,Yes,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V357,357,Stage 4 (15-29),Yes,No,Yes,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V358,358,Stage 4 (15-29),Yes,No,Yes,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V359,359,Stage 4 (15-29),Yes,No,Yes,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V360,360,Stage 4 (15-29),Yes,No,Yes,Obese (>27),9.0-11.0%,Hard,TRAP
T2D_V361,361,Stage 4 (15-29),Yes,Yes,No,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V362,362,Stage 4 (15-29),Yes,Yes,No,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V363,363,Stage 4 (15-29),Yes,Yes,No,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V364,364,Stage 4 (15-29),Yes,Yes,No,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V365,365,Stage 4 (15-29),Yes,Yes,No,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V366,366,Stage 4 (15-29),Yes,Yes,No,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V367,367,Stage 4 (15-29),Yes,Yes,No,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V368,368,Stage 4 (15-29),Yes,Yes,No,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V369,369,Stage 4 (15-29),Yes,Yes,No,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V370,370,Stage 4 (15-29),Yes,Yes,No,Obese (>27),6.5-7.5%,Hard,TRAP
T2D_V371,371,Stage 4 (15-29),Yes,Yes,No,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V372,372,Stage 4 (15-29),Yes,Yes,No,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V373,373,Stage 4 (15-29),Yes,Yes,Yes,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V374,374,Stage 4 (15-29),Yes,Yes,Yes,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V375,375,Stage 4 (15-29),Yes,Yes,Yes,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V376,376,Stage 4 (15-29),Yes,Yes,Yes,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V377,377,Stage 4 (15-29),Yes,Yes,Yes,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V378,378,Stage 4 (15-29),Yes,Yes,Yes,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V379,379,Stage 4 (15-29),Yes,Yes,Yes,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V380,380,Stage 4 (15-29),Yes,Yes,Yes,Overweight (23-27),9.0-11.0%,Hard,TRAP
T2D_V381,381,Stage 4 (15-29),Yes,Yes,Yes,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V382,382,Stage 4 (15-29),Yes,Yes,Yes,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V383,383,Stage 4 (15-29),Yes,Yes,Yes,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V384,384,Stage 4 (15-29),Yes,Yes,Yes,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V385,385,Stage 5 (0-15),No,No,No,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V386,386,Stage 5 (0-15),No,No,No,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V387,387,Stage 5 (0-15),No,No,No,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V388,388,Stage 5 (0-15),No,No,No,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V389,389,Stage 5 (0-15),No,No,No,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V390,390,Stage 5 (0-15),No,No,No,Overweight (23-27),6.5-7.5%,Hard,TRAP
T2D_V391,391,Stage 5 (0-15),No,No,No,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V392,392,Stage 5 (0-15),No,No,No,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V393,393,Stage 5 (0-15),No,No,No,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V394,394,Stage 5 (0-15),No,No,No,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V395,395,Stage 5 (0-15),No,No,No,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V396,396,Stage 5 (0-15),No,No,No,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V397,397,Stage 5 (0-15),No,No,Yes,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V398,398,Stage 5 (0-15),No,No,Yes,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V399,399,Stage 5 (0-15),No,No,Yes,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V400,400,Stage 5 (0-15),No,No,Yes,Normal (<23),9.0-11.0%,Hard,TRAP
T2D_V401,401,Stage 5 (0-15),No,No,Yes,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V402,402,Stage 5 (0-15),No,No,Yes,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V403,403,Stage 5 (0-15),No,No,Yes,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V404,404,Stage 5 (0-15),No,No,Yes,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V405,405,Stage 5 (0-15),No,No,Yes,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V406,406,Stage 5 (0-15),No,No,Yes,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V407,407,Stage 5 (0-15),No,No,Yes,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V408,408,Stage 5 (0-15),No,No,Yes,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V409,409,Stage 5 (0-15),No,Yes,No,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V410,410,Stage 5 (0-15),No,Yes,No,Normal (<23),6.5-7.5%,Hard,TRAP
T2D_V411,411,Stage 5 (0-15),No,Yes,No,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V412,412,Stage 5 (0-15),No,Yes,No,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V413,413,Stage 5 (0-15),No,Yes,No,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V414,414,Stage 5 (0-15),No,Yes,No,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V415,415,Stage 5 (0-15),No,Yes,No,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V416,416,Stage 5 (0-15),No,Yes,No,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V417,417,Stage 5 (0-15),No,Yes,No,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V418,418,Stage 5 (0-15),No,Yes,No,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V419,419,Stage 5 (0-15),No,Yes,No,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V420,420,Stage 5 (0-15),No,Yes,No,Obese (>27),9.0-11.0%,Hard,TRAP
T2D_V421,421,Stage 5 (0-15),No,Yes,Yes,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V422,422,Stage 5 (0-15),No,Yes,Yes,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V423,423,Stage 5 (0-15),No,Yes,Yes,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V424,424,Stage 5 (0-15),No,Yes,Yes,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V425,425,Stage 5 (0-15),No,Yes,Yes,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V426,426,Stage 5 (0-15),No,Yes,Yes,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V427,427,Stage 5 (0-15),No,Yes,Yes,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V428,428,Stage 5 (0-15),No,Yes,Yes,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V429,429,Stage 5 (0-15),No,Yes,Yes,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V430,430,Stage 5 (0-15),No,Yes,Yes,Obese (>27),6.5-7.5%,Hard,TRAP
T2D_V431,431,Stage 5 (0-15),No,Yes,Yes,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V432,432,Stage 5 (0-15),No,Yes,Yes,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V433,433,Stage 5 (0-15),Yes,No,No,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V434,434,Stage 5 (0-15),Yes,No,No,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V435,435,Stage 5 (0-15),Yes,No,No,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V436,436,Stage 5 (0-15),Yes,No,No,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V437,437,Stage 5 (0-15),Yes,No,No,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V438,438,Stage 5 (0-15),Yes,No,No,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V439,439,Stage 5 (0-15),Yes,No,No,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V440,440,Stage 5 (0-15),Yes,No,No,Overweight (23-27),9.0-11.0%,Hard,TRAP
T2D_V441,441,Stage 5 (0-15),Yes,No,No,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V442,442,Stage 5 (0-15),Yes,No,No,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V443,443,Stage 5 (0-15),Yes,No,No,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V444,444,Stage 5 (0-15),Yes,No,No,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V445,445,Stage 5 (0-15),Yes,No,Yes,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V446,446,Stage 5 (0-15),Yes,No,Yes,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V447,447,Stage 5 (0-15),Yes,No,Yes,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V448,448,Stage 5 (0-15),Yes,No,Yes,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V449,449,Stage 5 (0-15),Yes,No,Yes,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V450,450,Stage 5 (0-15),Yes,No,Yes,Overweight (23-27),6.5-7.5%,Hard,TRAP
T2D_V451,451,Stage 5 (0-15),Yes,No,Yes,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V452,452,Stage 5 (0-15),Yes,No,Yes,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V453,453,Stage 5 (0-15),Yes,No,Yes,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V454,454,Stage 5 (0-15),Yes,No,Yes,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V455,455,Stage 5 (0-15),Yes,No,Yes,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V456,456,Stage 5 (0-15),Yes,No,Yes,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V457,457,Stage 5 (0-15),Yes,Yes,No,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V458,458,Stage 5 (0-15),Yes,Yes,No,Normal (<23),6.5-7.5%,Hard,NON-TRAP
T2D_V459,459,Stage 5 (0-15),Yes,Yes,No,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V460,460,Stage 5 (0-15),Yes,Yes,No,Normal (<23),9.0-11.0%,Hard,TRAP
T2D_V461,461,Stage 5 (0-15),Yes,Yes,No,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V462,462,Stage 5 (0-15),Yes,Yes,No,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V463,463,Stage 5 (0-15),Yes,Yes,No,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V464,464,Stage 5 (0-15),Yes,Yes,No,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V465,465,Stage 5 (0-15),Yes,Yes,No,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V466,466,Stage 5 (0-15),Yes,Yes,No,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V467,467,Stage 5 (0-15),Yes,Yes,No,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V468,468,Stage 5 (0-15),Yes,Yes,No,Obese (>27),9.0-11.0%,Hard,NON-TRAP
T2D_V469,469,Stage 5 (0-15),Yes,Yes,Yes,Normal (<23),5.5-6.5%,Hard,NON-TRAP
T2D_V470,470,Stage 5 (0-15),Yes,Yes,Yes,Normal (<23),6.5-7.5%,Hard,TRAP
T2D_V471,471,Stage 5 (0-15),Yes,Yes,Yes,Normal (<23),7.5-9.0%,Hard,NON-TRAP
T2D_V472,472,Stage 5 (0-15),Yes,Yes,Yes,Normal (<23),9.0-11.0%,Hard,NON-TRAP
T2D_V473,473,Stage 5 (0-15),Yes,Yes,Yes,Overweight (23-27),5.5-6.5%,Hard,NON-TRAP
T2D_V474,474,Stage 5 (0-15),Yes,Yes,Yes,Overweight (23-27),6.5-7.5%,Hard,NON-TRAP
T2D_V475,475,Stage 5 (0-15),Yes,Yes,Yes,Overweight (23-27),7.5-9.0%,Hard,NON-TRAP
T2D_V476,476,Stage 5 (0-15),Yes,Yes,Yes,Overweight (23-27),9.0-11.0%,Hard,NON-TRAP
T2D_V477,477,Stage 5 (0-15),Yes,Yes,Yes,Obese (>27),5.5-6.5%,Hard,NON-TRAP
T2D_V478,478,Stage 5 (0-15),Yes,Yes,Yes,Obese (>27),6.5-7.5%,Hard,NON-TRAP
T2D_V479,479,Stage 5 (0-15),Yes,Yes,Yes,Obese (>27),7.5-9.0%,Hard,NON-TRAP
T2D_V480,480,Stage 5 (0-15),Yes,Yes,Yes,Obese (>27),9.0-11.0%,Hard,TRAP
